target_id	length	eff_length	est_counts	tpm
Solyd01g050010.1	1179	1000	20.8459	2.45534
Solyd01g050020.1	456	277	0	0
Solyd01g050030.1	393	214	0	0
Solyd01g050040.1	360	181	0	0
Solyd01g050050.1	1981	1802	14987.1	979.607
Solyd01g050060.1	807	628	0	0
Solyd01g050070.1	438	259	23	10.4597
Solyd01g050080.1	618	439	39.6111	10.6278
Solyd01g050090.1	1527	1348	338	29.5336
Solyd01g050110.1	2125	1946	88.3889	5.34989
Solyd01g050100.1	456	277	0	0
Solyd01g050120.1	801	622	230	43.5539
Solyd01g050130.1	2411	2232	17273.9	911.564
Solyd01g050140.1	771	592	8	1.59169
Solyd01g050150.1	2415	2236	3	0.15803
Solyd01g050160.1	1374	1195	351	34.5963
Solyd01g050170.1	1131	952	23.1541	2.86471
Solyd01g050180.1	456	277	87	36.9938
Solyd01g050190.1	393	214	22	12.1087
Solyd01g050200.1	924	745	17	2.68771
Solyd01g050210.1	1017	838	729	102.465
Solyd01g050220.1	1371	1192	251.349	24.8365
Solyd01g050230.1	915	736	0	0
Solyd01g050240.1	522	343	0	0
Solyd01g050250.1	501	322	4	1.46317
Solyd01g050260.1	477	298	2	0.790503
Solyd01g050270.1	1338	1159	34	3.4553
Solyd01g050280.1	896	717	52	8.54229
Solyd01g050290.1	888	709	2	0.332257
Solyd01g050300.1	978	799	4	0.589662
Solyd01g050310.1	1572	1393	130	10.9921
Solyd01g050320.1	2694	2515	314	14.7056
Solyd01g050330.1	744	565	1	0.208469
Solyd01g050340.1	1611	1432	27	2.22081
Solyd01g050350.1	1954	1775	1232	81.7528
Solyd01g050360.1	1224	1045	11	1.23984
Solyd01g050370.1	483	304	2.04326e-08	7.91663e-09
Solyd01g050380.1	1078	899	61.6511	8.0774
Solyd01g050390.1	708	529	94	20.9297
Solyd01g050400.1	723	544	63	13.6405
Solyd01g050410.1	723	544	69	14.9396
Solyd01g050420.1	1068	889	123	16.2965
Solyd01g050430.1	1704	1525	280.712	21.6811
Solyd01g050440.1	612	433	6.17514	1.67977
Solyd01g050450.1	2125	1946	1	0.0605267
Solyd01g050460.1	1800	1621	71	5.159
Solyd01g050470.1	2574	2395	726	35.7044
Solyd01g050480.1	840	661	0	0
Solyd01g050490.1	795	616	1	0.191209
Solyd01g050500.1	276	97.0001	0	0
Solyd01g050510.1	1891	1712	5	0.343998
Solyd01g050520.1	675	496	0	0
Solyd01g050530.1	666	487	48	11.6092
Solyd01g050540.1	1749	1570	2	0.150045
Solyd01g050550.1	324	145	0	0
Solyd01g050560.1	1282	1103	8	0.854288
Solyd01g050570.1	966	787	1233	184.535
Solyd01g050580.1	408	229	27	13.8873
Solyd01g050590.1	531	352	0	0
Solyd01g050600.1	1401	1222	34	3.27716
Solyd01g050610.1	1098	919	7	0.897166
Solyd01g050620.1	1803	1624	559.953	40.6121
Solyd01g050630.1	1203	1024	65	7.47659
Solyd01g050640.1	1902	1723	2	0.136721
Solyd01g050650.1	981	802	28	4.1122
Solyd01g050660.1	4257	4078	337	9.73358
Solyd01g050670.1	3456	3277	123	4.42098
Solyd01g050680.1	657	478	11	2.71053
Solyd01g050690.1	1464	1285	99	9.07449
Solyd01g050700.1	297	118	0	0
Solyd01g050710.1	1390	1211	608.147	59.1499
Solyd01g050720.1	603	424	0	0
Solyd01g050730.1	1590	1411	6524	544.599
Solyd01g050740.1	603	424	198.602	55.1705
Solyd01g050750.1	603	424	173.398	48.1692
Solyd01g050760.1	1391	1212	283.88	27.5881
Solyd01g050770.1	1401	1222	1205.33	116.178
Solyd01g050780.1	600	421	0	0
Solyd01g050790.1	1493	1314	32.6618	2.92775
Solyd01g050800.1	2409	2230	0	0
Solyd01g050810.1	1623	1444	0	0
Solyd01g050820.1	930	751	4	0.62735
Solyd01g050830.1	1177	998	41	4.83886
Solyd01g050840.1	408	229	0	0
Solyd01g050850.1	1662	1483	196.721	15.6242
Solyd01g050860.1	2256	2077	144	8.16613
Solyd01g050870.1	3789	3610	1	0.0326274
Solyd01g050880.1	1431	1252	7	0.658542
Solyd01g050890.1	1680	1501	9	0.706239
Solyd01g050900.1	834	655	169	30.3903
Solyd01g050910.1	786	607	867	168.237
Solyd01g050920.1	930	751	4	0.62735
Solyd01g050930.1	1392	1213	0	0
Solyd01g050940.1	2241	2062	0	0
Solyd01g050950.1	629	450	83.587	21.8784
Solyd01g050960.1	1247	1068	15.6925	1.73065
Solyd01g050970.1	2256	2077	0	0
Solyd01g050980.1	309	130	0	0
Solyd01g050990.1	531	352	0	0
Solyd01g051000.1	2469	2290	0	0
Solyd01g051010.1	1959	1780	0	0
Solyd01g051020.1	1182	1003	0	0
Solyd01g051030.1	2139	1960	50	3.00472
Solyd01g051040.1	1489	1310	146.338	13.1576
Solyd01g051050.1	936	757	0	0
Solyd01g051060.1	600	421	0	0
Solyd01g051070.1	1401	1222	412.672	39.7762
Solyd01g051080.1	1020	841	0	0
Solyd01g051090.1	1393	1214	61.9733	6.01279
Solyd01g051100.1	1446	1267	25	2.32409
Solyd01g051110.1	558	379	38	11.8096
Solyd01g051120.1	2154	1975	0	0
Solyd01g051130.1	1344	1165	0	0
Solyd01g051140.1	2514	2335	19.1149	0.964219
Solyd01g051150.1	813	634	15.7744	2.93058
Solyd01g051160.1	1137	958	29	3.56552
Solyd01g051170.1	1128	949	0	0
Solyd01g051180.1	942	763	167	25.7799
Solyd01g051190.1	1815	1636	691	49.749
Solyd01g051200.1	2511	2332	5.88508	0.297244
Solyd01g051210.1	801	622	13.2256	2.50446
Solyd01g051220.1	699	520	2	0.453019
Solyd01g051230.1	1314	1135	19	1.97173
Solyd01g051240.1	582	403	23	6.72222
Solyd01g051250.1	1629	1450	30	2.43693
Solyd01g051260.1	2412	2233	105	5.53848
Solyd01g051270.1	792	613	402	77.2424
Solyd01g051280.1	2580	2401	94.8409	4.65258
Solyd01g051290.1	951	772	51	7.78113
Solyd01g051300.1	324	145	0	0
Solyd01g051310.1	1146	967	41	4.99399
Solyd01g051320.1	2550	2371	134	6.65677
Solyd01g051330.1	1318	1139	539	55.7385
Solyd01g051340.1	444	265	0	0
Solyd01g051350.1	183	17.7996	0	0
Solyd01g051360.1	351	172	0	0
Solyd01g051370.1	2790	2611	219.159	9.8865
Solyd01g051380.1	1214	1035	789.758	89.876
Solyd01g051390.1	474	295	0	0
Solyd01g051400.1	2052	1873	1290.56	81.1578
Solyd01g051410.1	504	325	27.694	10.0367
Solyd01g051420.1	1218	1039	136.316	15.4533
Solyd01g051430.1	942	763	1268.68	195.848
Solyd01g051440.1	501	322	48.306	17.67
Solyd01g051450.1	1218	1039	233.684	26.4913
Solyd01g051460.1	339	160	179	131.772
Solyd01g051470.1	1122	943	78	9.74256
Solyd01g051480.1	1770	1591	11	0.814353
Solyd01g051490.1	1032	853	216	29.826
Solyd01g051500.1	945	766	0	0
Solyd01g051510.1	945	766	1	0.153766
Solyd01g051520.1	1170	991	18	2.13938
Solyd01g051540.1	1566	1387	208	17.6635
Solyd01g051530.1	522	343	4	1.37359
Solyd01g051550.1	537	358	15	4.93513
Solyd01g051560.1	465	286	8	3.29469
Solyd01g051570.1	2482	2303	1037	53.0365
Solyd01g051580.1	1041	862	99	13.5275
Solyd01g051590.1	975	796	74	10.9499
Solyd01g051600.1	993	814	0	0
Solyd01g051610.1	1028	849	8	1.10987
Solyd01g051620.1	729	550	3	0.642464
Solyd01g051630.1	1185	1006	17	1.9904
Solyd01g051640.1	1830	1651	86	6.13538
Solyd01g051650.1	5700	5521	587	12.5231
Solyd01g051670.1	5763	5584	360	7.59359
Solyd01g051660.1	3114	2935	13	0.521705
Solyd01g051680.1	582	403	52	15.1981
Solyd01g051690.1	826	647	508	92.4804
Solyd01g051700.1	1677	1498	32809	2579.71
Solyd01g051710.1	1614	1435	0	0
Solyd01g051720.1	1131	952	66	8.16577
Solyd01g051730.1	750	571	0	0
Solyd01g051740.1	342	163	0	0
Solyd01g051750.1	1124	945	42	5.23489
Solyd01g051760.1	1992	1813	102	6.62663
Solyd01g051770.1	1467	1288	35	3.20068
Solyd01g051780.1	1038	859	310	42.5068
Solyd01g051790.1	4782	4603	43	1.10032
Solyd01g051800.1	2580	2401	250	12.2642
Solyd01g051810.1	2703	2524	51	2.37997
Solyd01g051820.1	738	559	0	0
Solyd01g051840.1	369	190	0	0
Solyd01g051830.1	936	757	0	0
Solyd01g051850.1	936	757	0	0
Solyd01g051860.1	936	757	0	0
Solyd01g051870.1	1410	1231	2.13902	0.204667
Solyd01g051880.1	1444	1265	43	4.00376
Solyd01g051890.1	2552	2373	0	0
Solyd01g051900.1	1308	1129	222	23.1606
Solyd01g051910.1	6600	6421	0	0
Solyd01g051920.1	1283	1104	18.3745	1.96037
Solyd01g051930.1	474	295	22.043	8.80113
Solyd01g051940.1	696	517	0	0
Solyd01g051950.1	2100	1921	0	0
Solyd01g051960.1	1221	1042	0	0
Solyd01g051970.1	4593	4414	0	0
Solyd01g051980.1	1254	1075	237.271	25.9971
Solyd01g051990.1	1612	1433	27.3675	2.24946
Solyd01g052000.1	2297	2118	4	0.222446
Solyd01g052010.1	351	172	0	0
Solyd01g052020.1	1065	886	24.5825	3.268
Solyd01g052030.1	351	172	0	0
Solyd01g052040.1	2276	2097	0	0
Solyd01g052050.1	1835	1656	59.6325	4.24143
Solyd01g052060.1	1254	1075	181.941	19.9348
Solyd01g052070.1	1749	1570	131.733	9.88294
Solyd01g052080.1	1344	1165	23.8316	2.40945
Solyd01g052090.1	987	808	6.78825	0.989547
Solyd01g052100.1	1827	1648	210	15.009
Solyd01g052110.1	1914	1735	82	5.56678
Solyd01g052120.1	3573	3394	37	1.28404
Solyd01g052130.1	2247	2068	122.168	6.95822
Solyd01g052140.1	1749	1570	172.267	12.9238
Solyd01g052150.1	1281	1102	51	5.45103
Solyd01g052160.1	336	157	11	8.25245
Solyd01g052170.1	1056	877	2	0.268609
Solyd01g052180.1	2727	2548	6	0.277359
Solyd01g052190.1	786	607	270	52.392
Solyd01g052200.1	1140	961	502	61.5277
Solyd01g052210.1	1270	1091	174	18.7851
Solyd01g052220.1	1846	1667	229	16.1804
Solyd01g052230.1	1443	1264	502	46.7785
Solyd01g052240.1	1713	1534	0	0
Solyd01g052250.1	3234	3055	4	0.154219
Solyd01g052260.1	2259	2080	446	25.2558
Solyd01g052270.1	5034	4855	135	3.27518
Solyd01g052280.1	2865	2686	152.862	6.70322
Solyd01g052290.1	516	337	854.981	298.825
Solyd01g052300.1	273	94.0001	0	0
Solyd01g052310.1	2556	2377	0	0
Solyd01g052320.1	909	730	19	3.06564
Solyd01g052330.1	984	805	88	12.8759
Solyd01g052340.1	903	724	29	4.71791
Solyd01g052350.1	3744	3565	219	7.2356
Solyd01g052360.1	339	160	0	0
Solyd01g052370.1	3257	3078	106	4.05627
Solyd01g052380.1	1525	1346	104	9.10077
Solyd01g052390.1	1509	1330	246.841	21.8603
Solyd01g052400.1	408	229	126.019	64.817
Solyd01g052410.1	2861	2682	4.13798	0.181727
Solyd01g052420.1	1509	1330	37.1589	3.2908
Solyd01g052430.1	423	244	0	0
Solyd01g052440.1	723	544	0	0
Solyd01g052450.1	573	394	0	0
Solyd01g052460.1	594	415	0	0
Solyd01g052470.1	2298	2119	2.03529e-06	1.13132e-07
Solyd01g052480.1	2265	2086	3.98472	0.224995
Solyd01g052490.1	2325	2146	0	0
Solyd01g052500.1	1218	1039	1.01528	0.115096
Solyd01g052510.1	1179	1000	3	0.353355
Solyd01g052520.1	1236	1057	0	0
Solyd01g052530.1	1354	1175	60	6.01455
Solyd01g052540.1	2034	1855	1721	109.277
Solyd01g052550.1	1233	1054	1	0.11175
Solyd01g052560.1	1566	1387	0	0
Solyd01g052570.1	2325	2146	0	0
Solyd01g052580.1	777	598	514	101.24
Solyd01g052590.1	1419	1240	148	14.0582
Solyd01g052600.1	3161	2982	117	4.62134
Solyd01g052610.1	2742	2563	16	0.735295
Solyd01g052620.1	2325	2146	192	10.5381
Solyd01g052630.1	1233	1054	1	0.11175
Solyd01g052640.1	3355	3176	324	12.0159
